Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,86,2022/02/08,19:52:24,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,70,2022/02/08,19:52:24,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,122,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,137,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,129,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,129,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,131,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,138,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,86,2022/02/08,19:52:24,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,70,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,143,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,144,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,148,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,144,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,137,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,138,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,137,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,141,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,140,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,136,2022/02/08,19:52:24,NULL
192.168.43.6,142.250.82.149,62872,19305,W,NULL,UDP,128,78,2022/02/08,19:52:24,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:24,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:24,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:24,NULL
142.250.82.149,192.168.43.6,19305,62872,O,NULL,UDP,116,137,2022/02/08,19:52:24,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:24,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,122,2022/02/08,19:52:25,NULL
192.168.43.6,142.250.82.149,60819,19305,W,NULL,UDP,128,1211,2022/02/08,19:52:25,NULL
