Sourceip,Destinationip,Sourceport,Destinationport,OS,Flags,Protocol,TTL,Length,Date,Time,Comments
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:13:43,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:13:43,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:13:43,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:13:58,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:13:58,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:13:58,NULL
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,194,2022/02/12,10:13:58,NULL
192.168.1.3,77.234.45.65,63431,80,W,A,TCP,128,40,2022/02/12,10:13:58,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,PA,TCP,47,1123,2022/02/12,10:13:58,NULL
192.168.1.3,77.234.45.65,63431,80,W,PA,TCP,128,334,2022/02/12,10:14:03,[PORT]
77.234.45.65,192.168.1.3,80,63431,O,A,TCP,47,40,2022/02/12,10:14:03,NULL
192.168.1.3,192.168.1.1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:14:03,NULL
192.168.1.1,192.168.1.3,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2022/02/12,10:14:07,NULL
192.168.1.3,5.62.53.131,63383,80,W,A,TCP,128,41,2022/02/12,10:14:07,[PORT]
5.62.53.131,192.168.1.3,80,63383,O,A,TCP,48,40,2022/02/12,10:14:07,NULL
192.168.1.3,192.168.1.1,50479,53,W,NULL,UDP,128,59,2022/02/12,10:14:16,NULL
192.168.1.1,192.168.1.3,53,50479,L,NULL,UDP,64,164,2022/02/12,10:14:16,NULL
192.168.1.3,23.15.34.72,51965,80,W,S,TCP,128,52,2022/02/12,10:14:16,[PORT]
23.15.34.72,192.168.1.3,80,51965,O,SA,TCP,55,52,2022/02/12,10:14:16,NULL
192.168.1.3,23.15.34.72,51965,80,W,A,TCP,128,40,2022/02/12,10:14:21,[PORT]
